"HJD";"Uncert.";"O-C";"E";"Reference";"Observer";"Obs. meth.";"Comment"
"2458348.1716";"0.0014";"+0.0041";" +6398";"J.F. Le Borgne, 2018, pr. com.";"K. Hirosawa";"ccd";"-"
"2458355.5192";"0.0008";"+0.0029";" +6414";"Samolyk, 2019b";"T. Arranz";"ccd";"V filter"
"2458356.4389";"0.0009";"+0.0040";" +6416";"Samolyk, 2019b";"T. Arranz";"ccd";"V filter"
"2458396.3985";"0.0009";"+0.0042";" +6503";"Pagel, 2019";"O. Nickel";"ccd";"V filter; also in Pagel L., BAV Mitteilung Feb. 2019"
"2458671.5217";"0.0011";"+0.0048";" +7102";"Pagel, 2020";"M. Hoecherl";"ccd";"V filter"
"2458699.9999";"0.01";"+0.0062";" +7164";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2458745.4741";"0.01";"+0.0094";" +7263";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2458754.6576";"0.01";"+0.0068";" +7283";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2458809.3202";"0.01";"+0.0124";" +7402";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2458999.9294";"0.01";"+0.0108";" +7817";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2459033.9054";"0.01";"-0.0017";" +7891";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2459062.3880";"0.01";"+0.0041";" +7953";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2459068.8183";"0.0008";"+0.0042";" +7967";"Samolyk, 2021a";"G. Samolyk";"ccd";"V filter"
"2459073.8778";"0.01";"+0.0113";" +7978";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2459078.9234";"0.01";"+0.0046";" +7989";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2459084.9019";"0.01";"+0.0122";" +8002";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2459089.4872";"0.0007";"+0.0044";" +8012";"Samolyk, 2021a";"T. Arranz";"ccd";"V filter"
"2459095.9214";"0.01";"+0.0084";" +8026";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2459138.6329";"0.0009";"+0.0047";" +8119";"Samolyk, 2021a";"G. Samolyk";"ccd";"V filter"
"2459154.7026";"0.01";"-0.0012";" +8154";"J. Vandenbroere, 2020, pr. com.";"ASAS-SN";"ccd";"g filter; bright measurement"
"2459459.6867";"0.0007";"+0.0056";" +8818";"Samolyk, 2022a";"G. Samolyk";"ccd";"V filter"
"2459463.3615";"0.0020";"+0.0060";" +8826";"J.F. Le Borgne, 2021, pr. com.";"S. Dufoer";"ccd";"V filter"
"2459479.4359";"0.0008";"+0.0048";" +8861";"Samolyk, 2022a";"T. Arranz";"ccd";"V filter"
"2459514.3441";"0.0007";"+0.0059";" +8937";"Samolyk, 2022a";"T. Arranz";"ccd";"V filter"
"2459779.8217";"0.0008";"+0.0063";" +9515";"Samolyk, 2023a";"G. Samolyk";"ccd";"V filter"
"2459823.4564";"0.0009";"+0.0072";" +9610";"J.F. Le Borgne, 2022, pr. com.";"S. Dufoer";"ccd";"V filter"
"2459870.3045";"0.0006";"+0.0064";" +9712";"Samolyk, 2023a";"T. Arranz";"ccd";"V filter"
"2459893.2710";"0.0018";"+0.0077";" +9762";"J.F. Le Borgne, 2022, pr. com.";"S. Dufoer";"ccd";"V filter"
"2460174.8232";"0.0008";"+0.0071";"+10375";"Samolyk, 2024";"G. Samolyk";"ccd";"V filter"
"2460179.4180";"0.0120";"+0.0089";"+10385";"Pagel, 2024";"G. B�sch";"dslr";""
"2460201.4634";"0.0013";"+0.0077";"+10433";"Samolyk, 2024";"T. Arranz";"ccd";"V filter"
"2460219.3755";"0.0009";"+0.0070";"+10472";"Samolyk, 2024";"T. Arranz";"ccd";"V filter"
"2460224.4283";"0.0012";"+0.0075";"+10483";"J.F. Le Borgne, 2023, pr. com.";"S. Dufoer";"ccd";"V filter"
"2460225.3482";"0.0001";"+0.0088";"+10485";"Samolyk, 2024";"T. Arranz";"ccd";"V filter"
