"HJD";"Uncert.";"O-C";"E";"Reference";"Observer";"Obs. meth.";"Comment"
"2437533.4740";"0.01";"+0.0062";"-38920";"Lange, 1961c";"G.A. Lange";"vis";""
"2437546.3320";"0.01";"+0.0037";"-38892";"Lange, 1962a";"G.A. Lange";"vis";""
"2437557.3530";"0.01";"+0.0014";"-38868";"Lange, 1962a";"G.A. Lange";"vis";""
"2437575.2620";"0.01";"-0.0024";"-38829";"Lange, 1962a";"G.A. Lange";"vis";""
"2437908.2540";"0.01";"-0.0052";"-38104";"Tsesevich, 1969a";"G.A. Lange";"-";""
"2437925.2480";"0.01";"-0.0054";"-38067";"Tsesevich, 1969a";"G.A. Lange";"-";""
"2438285.8033";"0.01";"-0.0030";"-37282";"AA15,103";"-";"-";""
"2438675.7580";"0.01";"+0.0033";"-36433";"Fitch et al., 1966";"-";"-";""
"2438697.3390";"0.01";"-0.0029";"-36386";"Clube et al., 1969";"-";"pe";""
"2439026.6640";"0.01";"+0.0017";"-35669";"Fitch et al., 1966";"-";"-";""
"2440549.7090";"0.0010";"-0.0025";"-32353";"Samolyk, 2017b";"T. Cragg";"vis";""
"2441208.3470";"0.01";"-0.0052";"-30919";"Lub, 1977";"-";"-";""
"2445586.4398";"0.01";"+0.0101";"-21387";"Le Borgne, 2004";"J.F. Le Borgne";"vis";""
"2445586.4419";"0.01";"+0.0122";"-21387";"Le Borgne, 2004";"E. Nezry";"vis";""
"2446640.5350";"0.0080";"+0.0045";"-19092";"Vandenbroere, Ferrand, 2018";"S. Ferrand";"vis";""
"2447014.4010";"0.01";"-0.0022";"-18278";"H&#252;bscher, Lichtenknecker, 1988";"E. Wunder";"vis";""
"2447747.4560";"0.01";"+0.0050";"-16682";"Le Borgne, 2004";"J. Aubaud";"pg";""
"2448090.5520";"0.01";"+0.0015";"-15935";"Le Borgne, 2004";"J. Aubaud";"pg";""
"2448189.2960";"0.01";"-0.0046";"-15720";"H&#252;bscher et al., 1991";"G. Maintz";"vis";""
"2448500.2802";"0.01";"+0.0313";"-15043";"Hipparcos,1997";"Hipparcos";"pe";"filter V, not to be used"
"2449635.6500";"0.0040";"+0.0038";"-12571";"Samolyk, 2017b";"G. Samolyk";"vis";""
"2450003.5560";"0.0050";"+0.0080";"-11770";"Samolyk, 2017b";"G. Samolyk";"vis";""
"2450257.5490";"0.0020";"+0.0063";"-11217";"Samolyk, 2017b";"I. Fernandez";"vis";""
"2450257.5490";"0.0030";"+0.0063";"-11217";"Samolyk, 2017b";"M. Tejera";"vis";""
"2450257.5550";"0.0080";"+0.0123";"-11217";"Samolyk, 2017b";"F. Turi";"vis";""
"2450332.4130";"0.01";"+0.0039";"-11054";"H&#252;bscher et al., 1999";"M. Dahm";"vis";""
"2450347.5650";"0.0020";"-0.0011";"-11021";"Samolyk, 2017b";"G. Chaple";"vis";""
"2450361.3466";"0.0003";"+0.0014";"-10991";"Agerer, H&#252;bscher, 1998a";"W. Kleikamp";"ccd";""
"2450699.3925";"0.0003";"+0.0002";"-10255";"Agerer, H&#252;bscher, 1998b";"W. Kleikamp";"ccd";""
"2451045.7060";"0.0040";"-0.0009";" -9501";"Samolyk, 2017b";"R. Berg";"vis";""
"2451051.6780";"0.0040";"+0.0002";" -9488";"Samolyk, 2017b";"R. Berg";"vis";""
"2451056.7270";"0.0030";"-0.0031";" -9477";"Samolyk, 2017b";"R. Berg";"vis";""
"2451109.5510";"0.0030";"+0.0010";" -9362";"Samolyk, 2017b";"R. Berg";"vis";""
"2451287.7620";"0.01";"+0.0024";" -8974";"A.Paschke, 2004, private com.";"Rotse";"ccd";"normal max."
"2451429.6860";"0.0030";"+0.0017";" -8665";"Samolyk, 2017b";"R. Berg";"vis";""
"2451435.6500";"0.0080";"-0.0052";" -8652";"Samolyk, 2017b";"R. Berg";"vis";""
"2451452.6400";"0.01";"-0.0094";" -8615";"Wils et al., 2006";"Rotse";"ccd";"normal max."
"2451782.4260";"0.01";"-0.0031";" -7897";"H&#252;bscher, 2001";"R. Meyer";"vis";""
"2451785.6420";"0.0080";"-0.0022";" -7890";"Samolyk, 2017b";"R. Berg";"vis";""
"2451812.7430";"0.0040";"-0.0001";" -7831";"Samolyk, 2017b";"R. Hill";"vis";""
"2451837.5540";"0.0040";"+0.0085";" -7777";"Samolyk, 2017b";"G. Samolyk";"vis";""
"2451840.2930";"0.01";"-0.0083";" -7771";"Agerer, H&#252;bscher, 2002";"G. Maintz";"ccd";""
"2451840.3019";"0.01";"+0.0006";" -7771";"Agerer, H&#252;bscher, 2002";"W. Kleikamp";"ccd";""
"2452142.5330";"0.01";"+0.0102";" -7113";"A.Paschke, 2004, private com.";"ASAS";"ccd";"normal max."
"2452853.5298";"0.01";"+0.0058";" -5565";"H&#252;bscher, 2005b";"A. Paschke";"ccd";""
"2452854.4580";"0.01";"+0.0154";" -5563";"H&#252;bscher, 2005a";"R. Meyer";"vis";""
"2452893.0260";"0.0020";"+0.0019";" -5479";"Le Borgne et al., 2008c";"N. Butterworth";"ccd";"Filter V; Data from AAVSO database"
"2452902.6721";"0.0013";"+0.0026";" -5458";"Samolyk, 2010";"G. Samolyk";"ccd";"V filter"
"2452929.3140";"0.01";"+0.0050";" -5400";"H&#252;bscher, 2005b";"K. Poschinger";"ccd";"-Ir"
"2452966.9730";"0.01";"+0.0011";" -5318";"Hirosawa, 2012";"K. Hirosawa";"vis";""
"2453209.4910";"0.01";"+0.0070";" -4790";"H&#252;bscher, 2005c";"R. Meyer";"vis";""
"2453226.4830";"0.0050";"+0.0048";" -4753";"Le Borgne et al., 2005a";"Tarot - Calern";"ccd";""
"2453239.8017";"0.0013";"+0.0037";" -4724";"Samolyk, 2010";"G. Samolyk";"ccd";"V filter"
"2453250.3660";"0.01";"+0.0041";" -4701";"H&#252;bscher, 2005c";"R. Meyer";"vis";""
"2453254.5050";"0.0050";"+0.0093";" -4692";"Le Borgne et al., 2005a";"Tarot - Calern";"ccd";""
"2453265.9810";"0.0030";"+0.0028";" -4667";"Le Borgne et al., 2008c";"N. Butterworth";"ccd";"Filter V; Data from AAVSO database"
"2453315.5860";"0.0013";"+0.0030";" -4559";"Samolyk, 2010";"G. Samolyk";"ccd";"V filter"
"2453570.5050";"0.0050";"+0.0088";" -4004";"Le Borgne et al., 2006a";"Tarot - Calern";"ccd";""
"2453581.5220";"0.0030";"+0.0025";" -3980";"Le Borgne et al., 2006a";"Tarot - Calern";"ccd";""
"2453587.4970";"0.0020";"+0.0066";" -3967";"Le Borgne et al., 2006a";"Tarot - Calern";"ccd";""
"2453598.5200";"0.0020";"+0.0063";" -3943";"Le Borgne et al., 2006a";"Tarot - Calern";"ccd";""
"2453616.4290";"0.0020";"+0.0025";" -3904";"Le Borgne et al., 2006a";"Tarot - Calern";"ccd";""
"2453672.0043";"0.0018";"+0.0021";" -3783";"Le Borgne et al., 2008c";"N. Butterworth";"ccd";"Filter V; Data from AAVSO database"
"2453729.8760";"0.01";"+0.0016";" -3657";"Hirosawa, 2012";"K. Hirosawa";"vis";""
"2453936.5640";"0.0020";"+0.0032";" -3207";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2453942.5360";"0.0020";"+0.0042";" -3194";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2453948.5060";"0.0030";"+0.0033";" -3181";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2453960.4460";"0.0020";"+0.0014";" -3155";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2453970.5530";"0.0030";"+0.0037";" -3133";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2454000.4070";"0.0020";"+0.0030";" -3068";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2454017.4010";"0.0040";"+0.0028";" -3031";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2454018.3210";"0.0020";"+0.0042";" -3029";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2454023.3720";"0.0020";"+0.0029";" -3018";"Le Borgne et al., 2007a";"Tarot - Calern";"ccd";""
"2454023.3722";"0.0010";"+0.0031";" -3018";"Vandenbroere, Denoux, 2007";"E. Denoux";"ccd";""
"2454024.2980";"0.0200";"+0.0103";" -3016";"Vandenbroere, Denoux, 2007";"J. Vandenbroere";"vis";""
"2454033.9350";"0.01";"+0.0019";" -2995";"Hirosawa, 2012";"K. Hirosawa";"vis";""
"2454058.2890";"0.0200";"+0.0128";" -2942";"Vandenbroere, Denoux, 2007";"J. Vandenbroere";"vis";""
"2454277.8260";"0.0020";"+0.0029";" -2464";"Le Borgne et al., 2007b";"Tarot - Chile";"ccd";""
"2454316.4080";"0.0030";"+0.0035";" -2380";"Le Borgne et al., 2008a";"Tarot - Calern";"ccd";""
"2454343.5100";"0.0050";"+0.0066";" -2321";"Le Borgne et al., 2008a";"Tarot - Calern";"ccd";""
"2454349.4800";"0.0040";"+0.0056";" -2308";"Le Borgne et al., 2008a";"Tarot - Calern";"ccd";""
"2454355.4490";"0.0020";"+0.0037";" -2295";"Le Borgne et al., 2008a";"Tarot - Calern";"ccd";""
"2454356.3700";"0.0050";"+0.0061";" -2293";"Le Borgne et al., 2008a";"Tarot - Calern";"ccd";""
"2454360.0409";"0.0017";"+0.0026";" -2285";"Le Borgne et al., 2008c";"N. Butterworth";"ccd";"Filter V; Data from AAVSO database"
"2454372.4390";"0.0020";"-0.0005";" -2258";"Le Borgne et al., 2008a";"Tarot - Calern";"ccd";""
"2454394.0280";"0.0020";"+0.0012";" -2211";"J. Vandenbroere, 2011, pr. com.";"N. Butterworth";"ccd";"Data from AAVSO database, max. measured by J.Vandenbroere and G. Maintz"
